bfcb05d88d,15,96
7eb26b8485,0,180
cc8728052e,0,150
30fc77d72f,0,150
ae628f2cd4,0,150
0e0930474b,0,91
bb1c770fe7,0,150
08aa2705d5,0,180
1a95752aca,0,150
d927fae122,0,150
101caff7d4,0,96
1dec5446c8,0,180
3e38336da5,0,96
c37b17a4a9,0,180
e4004ee048,0,180
3adac8d7da,0,180
b3779a1962,90,96
fe6c244f63,0,66
3cc6f90cb2,0,92
fe58b48235,0,96
a22349e647,0,180
be9b29e08e,0,91
07353b2a89,0,150
ff97129478,0,144
b1457e3b5e,0,180
4e4e06a749,0,180
375a5c0e09,0,180
ca91c69e3b,0,71
e4e2983570,5,41
6abf0ba6b2,0,180
6c9d29d509,0,91
ad28f9b9d9,0,91
eaed1a87be,0,180
dd8636bd8b,0,180
e8073a140b,0,180
6b1b6ef28b,0,92
5316d11eb7,10,96
83ca8bcad0,0,180
fa4370d74d,0,180
145fdc3ac5,0,180
3064ad91e8,0,180
0b5b5e8e5a,15,96
ba3a775d7b,0,180
202b767bbc,0,92
1329409f2a,0,180
f6474735be,0,144
3a079fb484,0,180
b54278cd43,0,180
6135e27185,0,96
058a7592c8,0,96
e0be1f6e17,150,96
c62188c536,0,96
98fe7f0410,0,150
84be115c09,0,144
de2f35b2fd,35,91
9e4de40671,0,96
df59cfd91d,0,97
854c48b02a,0,96
d53b955f78,0,96
cf4376a52d,0,180
f6e501892c,45,96
7d18074fef,60,91
c44beb7472,0,180
4fded94004,0,180
4b54d2587f,0,180
1d3685150a,0,92
07cc1c7d74,0,180
57427393e9,95,96
f277c7a6a4,0,91
ca91e99105,50,46
5abe46ba6d,0,91
05d7715782,0,96
224e7c833e,0,96
c7bf937af5,0,91
5eec4d9fe5,0,96
9eadcea74f,0,180
14f9bd22b5,0,180
686dafaac9,0,144
74ec2b3073,0,91
b941aef1a0,0,144
a77b7a91df,0,150
69f0af42a6,0,97
3ab807ded6,65,96
3150b2ee57,0,180
f3325c3338,0,180
2f17e4fc1e,20,96
8b91036e5c,0,144
d973b31c00,0,144
a174e8d989,0,91
383bb93111,0,91
4fffec8479,55,96
cec41ad4f4,0,180
9893a3cf77,0,97
fb23455a7f,0,150
b8aaa59b75,0,92
9c3bc2e2a7,0,96
bbe0256a75,0,180
2f53998171,35,96
9a84ccf6a7,0,150
df3c430c24,0,91
